"2","CP-3523SJCT-ND","3.50mm _0.141, 1/8, Mini Plug_ - Headphone Phone Jack Stereo _3 Conductor, TRS_ Connector Solder","0.93615",""
"1","CTX508CT-ND","10MHz ±30ppm Crystal 18pF 50 Ohms HC-49/US","0.25026",""
"1","296-17332-1-ND","Adjustable Precision Shunt Regulator, 34 ppm / degC, 100 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)","0.39856",""
"2","343-CONBNC002-ND","BNC Connector Jack, Female Socket 50Ohm Panel Mount, Through Hole, Right Angle Solder","2.86",""
"2","SC2014-ND","Connecteur Jack 6.35mm","3.61",""
"1","MCP6002-E/SN-ND","General Purpose Amplifier 2 Circuit Rail-to-Rail 8-SOIC","0.43564",""
"5","36-5011-ND","Test Point, Black, Through Hole, RoHS, Bulk","0.38929",""
"1","732-13381-1-ND","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 2 Row, 8P","1.68",""
